Date,Name,Icon,Type,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
05/03/2020,Bulgarian Yogurt,Yogurt,Breakfast,0.5,Cup,70,0,4,6.50,2.50,2.25,2.50,0,12.50,80
05/03/2020,"Orange, Medium",Orange,Breakfast,0.25,Each,15,0,0.4,0.31,3.85,0,3.6,0.79,0,0
05/03/2020,Prickly Pear,Fig,Breakfast,0.25,Cup,15,0,0.19,0.27,3.56,0.2,0,1.34,0,1.86
05/03/2020,"Sugar, Granulated",SugarWhite,Breakfast,1.0,Teaspoon,16,0,0,0,4.20,0,4.19,0,0,0.4
05/03/2020,Fesenjan,Recipe,Lunch,1.0,Serving,359,0,19.14,23.74,17.34,3.36,11.86,1.54,82.20,79.78
05/03/2020,Instant pot Dal Makhani,Recipe,Lunch,2.0,Servings,173,0,3.69,16.59,18.85,2.34,3.99,19.73,10,7.60
05/03/2020,Pita Bread Whole Wheat,Toast,Lunch,0.5,Serving,65,0,0.75,2.50,13,0,0.25,1,0,100
05/03/2020,"Nuts, Mixed, w/ Peanuts, Salted, Oil Roasted",MixedNuts,Dinner,0.33,Cup,289,0,26.40,7.85,10.3,4.9,2.1,4.22,0,196.34
05/03/2020,"Whiskey, 90 Proof",Alcohol,Dinner,1.0,Fluid ounce,73,0,0,0,0,0,0,0,0,0.28
05/03/2020,"Gin, 80 Proof",Alcohol,Dinner,1.0,Fluid ounce,64,0,0,0,0,0,0,0,0,0.28
05/03/2020,Amontillado sherry,WineWhite,Dinner,1.0,Ounce,32,0,0,0,0,0,n/a,0,0.50,0
05/03/2020,Jjajang 04/25/2020,Recipe,Dinner,1.0,Serving,208,0,11.4,16.38,11.37,3.56,7.53,3.68,46.67,77.19
05/03/2020,Savory Cake 05/03/2020,Recipe,Dinner,1.0,Serving,153,0,8.40,6.59,12.65,3.8,2.11,1.54,59.59,160.94
05/03/2020,Tomato Jam,Jam,Dinner,1.0,Tablespoon,50,0,0,0,12,0,10,0,0,0
05/03/2020,Clementines,Orange,Snacks,4.0,Pieces,160,0,2,4,40,0,28,8,0,4
05/03/2020,Raw Whole Cashews,Cashew,Snacks,9.0,Grams,57,0,1.90,0.79,1.27,0.32,0.32,0.16,1.11,0.79
05/03/2020,Ghiardelli,Chocolate,Snacks,1.0,Piece,47,0,2.67,0.33,6,1.67,4.67,0.67,1.50,21.67
05/03/2020,Extra Dark Chocolate Chips,ChocolateChips,Snacks,15.0,Grams,80,0,5,1,8,3,6,3,0,0
05/03/2020,Andes Candy,Chocolate,Snacks,1.0,Piece,25,0,1.63,n/a,2.75,1.38,2.50,0.6,0,2.50
05/02/2020,"Chicken, Fried, Thigh, w/ Skin, Fried in Flour",Chicken,Breakfast,1.0,Each,162,0,9.29,16.59,1.97,2.54,0,0.6,60.14,54.56
05/02/2020,"Biscuit, Buttermilk, Medium",Biscuit,Breakfast,1.0,Each,186,0,8.41,3.16,24.73,1.27,1.77,0.66,0.51,536.52
05/02/2020,Dressing,Default,Breakfast,0.5,Serving,221,0,6.50,10.50,n/a,2,3,2.50,20,n/a
05/02/2020,Beignets,Fritter,Breakfast,3.0,Pieces,525,0,33,3,306,n/a,0,0,n/a,30
05/02/2020,"Butter, Unsalted, Stick",Butter,Breakfast,0.66,Teaspoon,22,0,2.42,0,0,1.54,0,0,6.60,0
05/02/2020,D'Anjou pear,Pear,Lunch,6.0,Ounces,100,0,0.23,0.61,26.82,0.8,16.86,5.44,0,1.76
05/02/2020,Clementines,Orange,Lunch,1.0,Piece,40,0,0.50,1,10,0,7,2,0,1
05/02/2020,Korean Pancake Mix,Pancakes,Dinner,50.0,Grams,167,0,0,5,38.33,0,0,0,0,316.67
05/02/2020,Green Cabbage,Cabbage,Dinner,0.1,Each,31,0,0,1.25,6.25,0,3.75,2.50,0,25
05/02/2020,Daikon Radish Kimchi,Radish,Dinner,1.0,Cup,25,0,0.23,1.19,5.49,0.4,2.24,1.73,0,489.33
05/02/2020,"Scallions, Chopped, Organic",Leeks,Dinner,0.25,Cup,10,0,0,0,2,0,1,1,0,10
05/02/2020,"Oil, Canola",Oil,Dinner,1.0,Teaspoon,40,0,4.67,0,0,0.33,0,0,0,0
05/02/2020,Jjajang 04/25/2020,Recipe,Dinner,1.0,Serving,208,0,11.4,16.38,11.37,3.56,7.53,3.68,46.67,77.19
05/02/2020,Kakdugi jjigae,Recipe,Dinner,1.0,Serving,80,0,4.40,6.27,4.38,1.37,2.83,1.49,17.50,148.79
05/02/2020,"Oil, Sesame, 100%",Oil,Dinner,0.5,Teaspoon,22,0,2.33,0,0,0.33,0,0,0,0
05/02/2020,Japanese pickled cucumber,Pickle,Dinner,1.0,Ounce,10,0,0,0,0,0,0.67,0.67,0,123.33
05/02/2020,"Rice, Steamed White, Prepared",Rice,Dinner,0.5,Cup,100,0,0.18,2.10,22.36,0,0,0.60,0,3.50
05/02/2020,"Ginger, Pickled",Bamboo,Dinner,1.0,Tablespoon,5,0,0,0,0,0,1,0,0,350
05/02/2020,Bulgarian Yogurt,Yogurt,Snacks,0.5,Cup,70,0,4,6.50,2.50,2.25,2.50,0,12.50,80
05/02/2020,"Pomegranate, 3 3/8""",Pomegranate,Snacks,0.25,Each,32,0,0.45,0.64,7.20,0.5,5.26,1.54,0,1.16
05/02/2020,Clementines,Orange,Snacks,2.0,Pieces,80,0,1,2,20,0,14,4,0,2
05/02/2020,Baked rice cake bar,Recipe,Snacks,2.0,Servings,227,0,6.65,5.20,37.11,1.6,16.29,1.30,1.56,27.12
05/01/2020,"Pear, Bartlett, Large",Pear,Breakfast,1.0,Each,143,0,0.50,0.90,34.10,2.30,8.40,7,n/a,0
05/01/2020,Fesenjan,Recipe,Lunch,1.0,Serving,359,0,19.14,23.74,17.34,3.36,11.86,1.54,82.20,79.78
05/01/2020,Instant pot Dal Makhani,Recipe,Lunch,1.0,Serving,86,0,1.85,8.29,9.42,1.17,1.99,9.87,5,3.80
05/01/2020,"Chile Peppers, Serrano, Chopped",Peppers,Lunch,0.25,Cup,8,0,0.12,0.46,1.76,0.1,1.1,0.97,0,2.63
05/01/2020,"Egg, Large",Egg,Lunch,1.0,Each,72,0,4.75,6.28,0.36,1.56,0.19,0,186,71
05/01/2020,"Peppers, Bell, Red, Medium, 2 3/4"" x 2 1/2""",BellPepperRed,Lunch,0.33,Each,12,0,0.12,0.39,2.37,0.1,1.65,0.82,0,1.57
05/01/2020,"Tomatoes, Fresh, Medium",Tomato,Lunch,1.0,Each,22,0,0.25,1.8,4.82,0.2,3.23,1.48,0,6.15
05/01/2020,"Oil, Olive, Extra Virgin",Oil,Lunch,1.0,Teaspoon,40,0,4.50,0,0,0.67,0,0,0,0
05/01/2020,Kakdugi jjigae,Recipe,Dinner,1.0,Serving,80,0,4.40,6.27,4.38,1.37,2.83,1.49,17.50,148.79
05/01/2020,Jjajang 04/25/2020,Recipe,Dinner,1.0,Serving,208,0,11.4,16.38,11.37,3.56,7.53,3.68,46.67,77.19
05/01/2020,"Rice, Steamed White, Prepared",Rice,Dinner,0.5,Cup,100,0,0.18,2.10,22.36,0,0,0.60,0,3.50
05/01/2020,Green Cabbage,Cabbage,Dinner,0.1,Each,31,0,0,1.25,6.25,0,3.75,2.50,0,25
05/01/2020,"Egg, Large",Egg,Dinner,2.0,Each,143,0,9.51,12.56,0.72,3.13,0.37,0,372,142
05/01/2020,Daikon Radish Kimchi,Radish,Dinner,1.0,Cup,25,0,0.23,1.19,5.49,0.4,2.24,1.73,0,489.33
05/01/2020,Japanese pickled cucumber,Pickle,Dinner,1.0,Ounce,10,0,0,0,0,0,0.67,0.67,0,123.33
05/01/2020,"Ginger, Pickled",Bamboo,Dinner,1.0,Tablespoon,5,0,0,0,0,0,1,0,0,350
05/01/2020,"Peppers, Bell, Red, Medium, 2 3/4"" x 2 1/2""",BellPepperRed,Dinner,0.33,Each,12,0,0.12,0.39,2.37,0.1,1.65,0.82,0,1.57
05/01/2020,"Tomatoes, Fresh, Medium",Tomato,Dinner,1.0,Each,22,0,0.25,1.8,4.82,0.2,3.23,1.48,0,6.15
