"Date","Weight"
"05/16/2020","153.6"
"05/15/2020","153.6"
"05/14/2020","155.8"
"05/13/2020","154.6"
"05/12/2020","153.8"
"05/11/2020","153.8"
"05/10/2020","153.8"
"05/09/2020","153.2"
"05/08/2020","154.8"
"05/07/2020","155.8"
"05/06/2020","155.8"
"05/05/2020","156.6"
"05/04/2020","156.6"
"05/02/2020","156.4"
"05/01/2020","156.8"
"04/30/2020","156.4"
"04/29/2020","155.8"
"04/28/2020","155.8"
"04/27/2020","156.4"
"04/26/2020","155.4"
"04/25/2020","155.6"
"04/24/2020","157.4"
"04/23/2020","157.6"
"04/22/2020","158.4"
"04/21/2020","159.2"
"04/20/2020","158.4"
"04/18/2020","157.8"
"04/17/2020","157.2"
"04/16/2020","158.6"
"04/15/2020","158.6"
"04/13/2020","158.6"
"04/10/2020","157.8"
"04/09/2020","158.6"
"04/08/2020","159.4"
"04/07/2020","158.2"
"04/06/2020","158.2"
"04/03/2020","158.8"
"04/02/2020","157.8"
"04/01/2020","157.8"
"03/31/2020","158.6"
"03/30/2020","159.2"
"03/29/2020","158.4"
"03/28/2020","158.4"
"03/26/2020","159.4"
"03/25/2020","159.4"
"03/24/2020","159.6"
"03/23/2020","160.2"
"03/22/2020","160.2"
"03/21/2020","160.0"
"03/20/2020","159.0"
"03/19/2020","159.2"
"03/18/2020","158.6"
"03/17/2020","161.2"
"03/16/2020","160.4"
"03/13/2020","159.6"
"03/12/2020","159.6"
"03/11/2020","159.6"
"03/10/2020","160.4"
"03/09/2020","161.8"
"03/06/2020","161.0"
"03/05/2020","160.2"
"03/04/2020","160.2"
"03/03/2020","161.8"
"03/02/2020","162.8"
"02/28/2020","160.6"
"02/27/2020","161.6"
"02/26/2020","162.8"
"02/25/2020","162.2"
